customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,address,postcode,state,country,property_valuation,Recency,Frequency,Profit,RFM_Score,Category
2603,Mercy,Jost,Female,44.0,1962-04-02,Nurse,Financial Services,High Net Worth,N,No,11.0,58.0,84 Stuart Lane,3146.0,VIC,Australia,11.0,14.0,7.0,4657.99,12.0,High Potential
2340,Joachim,Amer,Male,33.0,1978-03-29,Research Assistant IV,Health,Mass Customer,N,Yes,16.0,42.0,29 Portage Street,4070.0,QLD,Australia,7.0,5.0,9.0,4585.400000000001,12.0,High Potential
2914,Jessamine,Brazear,Female,76.0,1982-06-11,Health Coach IV,Health,Affluent Customer,N,Yes,11.0,38.0,3 Barnett Way,2763.0,NSW,Australia,9.0,12.0,12.0,6835.960000000001,12.0,High Potential
768,Alexia,Wolford,Female,5.0,1974-01-14,Web Developer IV,Argiculture,Affluent Customer,N,Yes,21.0,46.0,06495 Swallow Terrace,2759.0,NSW,Australia,9.0,5.0,9.0,5580.570000000001,12.0,High Potential
1291,Warner,Zuker,Male,0.0,1980-08-16,Quality Engineer,Health,Mass Customer,N,No,12.0,40.0,8 Kinsman Alley,4304.0,QLD,Australia,2.0,16.0,7.0,5147.26,12.0,High Potential
174,Catie,Tosspell,Female,93.0,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,31.0,6898 Redwing Park,2148.0,NSW,Australia,9.0,11.0,10.0,7628.24,12.0,High Potential
151,Donnie,Brimson,Male,36.0,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,55.0,34457 Springview Street,2759.0,NSW,Australia,9.0,0.0,7.0,5665.410000000001,12.0,High Potential
1252,Les,Ellwood,Male,46.0,1965-01-16,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,14.0,55.0,60320 Emmet Road,4806.0,QLD,Australia,4.0,9.0,7.0,4548.31,12.0,High Potential
877,Didi,Milne,Female,92.0,1988-05-13,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,3.0,32.0,029 Springview Place,2177.0,NSW,Australia,8.0,17.0,9.0,4918.87,12.0,High Potential
3470,Catherina,Ricca,Female,56.0,1967-01-10,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,53.0,176 Sutteridge Alley,3121.0,VIC,Australia,11.0,2.0,8.0,7228.799999999999,12.0,High Potential
2937,Belia,Mitchener,Female,47.0,1974-07-29,Computer Systems Analyst I,Financial Services,Mass Customer,N,No,15.0,46.0,572 Spohn Drive,3046.0,VIC,Australia,8.0,7.0,7.0,6294.38,12.0,High Potential
165,Aldon,Roelofs,Male,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,36.0,22371 Miller Trail,2032.0,NSW,Australia,10.0,8.0,8.0,6107.040000000001,12.0,High Potential
3286,Kent,Hatter,Male,23.0,1961-02-06,Assistant Media Planner,Entertainment,Mass Customer,N,No,20.0,59.0,1 Fairview Park,3977.0,VIC,Australia,7.0,9.0,11.0,5817.44,12.0,High Potential
3007,Tudor,Pepper,Male,38.0,1973-05-22,Environmental Tech,Manufacturing,Mass Customer,N,No,16.0,47.0,5913 Ramsey Road,2478.0,NSW,Australia,10.0,3.0,7.0,4500.3,12.0,High Potential
173,Ebba,Hanselmann,Female,99.0,1997-02-01,General Manager,Health,Affluent Customer,N,No,1.0,23.0,2 Randy Point,2766.0,NSW,Australia,8.0,15.0,9.0,6549.509999999999,12.0,High Potential
1722,Fritz,Geare,Male,52.0,1963-07-17,Cost Accountant,Financial Services,Mass Customer,N,No,4.0,57.0,86 Menomonie Plaza,2290.0,NSW,Australia,4.0,4.0,8.0,6474.500000000001,12.0,High Potential
793,Kissie,Delong,Female,97.0,1989-01-30,Actuary,Financial Services,High Net Worth,N,Yes,9.0,31.0,57 Gulseth Terrace,2099.0,NSW,Australia,10.0,1.0,10.0,4778.329999999998,12.0,High Potential
1942,Abe,Townby,Male,0.0,1987-08-01,Programmer Analyst II,Financial Services,High Net Worth,N,No,19.0,33.0,184 Hoepker Way,2197.0,NSW,Australia,9.0,16.0,8.0,4675.1900000000005,12.0,High Potential
832,Shaun,Murphey,Male,30.0,1977-11-30,Research Assistant IV,Retail,Mass Customer,N,No,14.0,43.0,44997 Anniversary Way,4114.0,QLD,Australia,3.0,17.0,11.0,8366.15,12.0,High Potential
3169,Maxim,Chavrin,Male,96.0,1964-12-01,Payment Adjustment Coordinator,IT,Mass Customer,N,Yes,19.0,56.0,398 Butternut Place,3027.0,VIC,Australia,7.0,0.0,7.0,4539.950000000001,12.0,High Potential
182,Lydon,Dahlman,Male,99.0,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,28.0,83012 Dapin Lane,4300.0,QLD,Australia,4.0,13.0,7.0,5409.120000000001,12.0,High Potential
2929,Winny,Cakes,Male,97.0,1999-07-28,Nurse,Retail,Mass Customer,N,No,2.0,21.0,415 Walton Lane,4883.0,QLD,Australia,3.0,1.0,9.0,6692.39,12.0,High Potential
2659,Konstance,Elgey,Female,81.0,1974-06-14,Professor,Argiculture,High Net Worth,N,Yes,11.0,46.0,882 Mitchell Place,4151.0,QLD,Australia,4.0,0.0,12.0,8143.930000000001,12.0,High Potential
195,Talyah,Rylatt,Female,34.0,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0,62.0,43 Upham Crossing,3143.0,VIC,Australia,9.0,0.0,7.0,9633.409999999998,12.0,High Potential
2653,Aylmer,Glenwright,Male,80.0,1995-05-01,Food Chemist,Health,Affluent Customer,N,No,1.0,25.0,7163 2nd Point,3931.0,VIC,Australia,8.0,3.0,9.0,7365.4800000000005,12.0,High Potential
200,Hube,Weald,Male,7.0,1957-04-02,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,63.0,7 Havey Point,4005.0,QLD,Australia,2.0,7.0,9.0,7283.86,12.0,High Potential
640,Galvin,O'Keenan,Male,12.0,1975-12-07,Librarian,Entertainment,High Net Worth,N,Yes,10.0,45.0,18 Forest Avenue,2204.0,NSW,Australia,9.0,10.0,8.0,4278.6,12.0,High Potential
1357,Waylin,Eassom,Male,69.0,1993-05-14,Research Nurse,Health,High Net Worth,N,No,6.0,27.0,43811 Golf View Road,3380.0,VIC,Australia,1.0,12.0,9.0,4732.84,12.0,High Potential
902,Selene,Vasiltsov,Female,37.0,1989-07-26,Staff Scientist,Retail,Mass Customer,N,No,18.0,31.0,9 Northridge Lane,2340.0,NSW,Australia,3.0,14.0,9.0,6003.049999999999,12.0,High Potential
1358,Gerome,Whittock,Male,8.0,1994-11-04,Dental Hygienist,Health,High Net Worth,N,No,6.0,26.0,19 Green Ridge Avenue,3340.0,VIC,Australia,3.0,3.0,8.0,4113.04,12.0,High Potential
3048,Kenon,Messruther,Male,38.0,1969-05-27,Legal Assistant,Manufacturing,Mass Customer,N,No,16.0,51.0,80302 Stang Parkway,3677.0,VIC,Australia,1.0,4.0,12.0,6996.35,12.0,High Potential
2865,Lila,Eyeington,Female,11.0,1997-12-14,Electrical Engineer,Manufacturing,High Net Worth,N,No,3.0,23.0,6804 Red Cloud Parkway,2099.0,NSW,Australia,9.0,0.0,7.0,5283.910000000001,12.0,High Potential
346,Timmie,Eisikowitz,Male,68.0,1981-03-15,Financial Analyst,Financial Services,Mass Customer,N,No,3.0,39.0,44621 Linden Drive,2155.0,NSW,Australia,10.0,12.0,9.0,6420.7,12.0,High Potential
498,Emmalee,Sketcher,Female,58.0,1978-04-30,VP Sales,Manufacturing,High Net Worth,N,Yes,10.0,42.0,470 Bunting Center,2447.0,NSW,Australia,3.0,7.0,7.0,4982.41,12.0,High Potential
3402,Krystyna,Scadden,Female,73.0,1985-04-05,Statistician II,Retail,Mass Customer,N,No,10.0,35.0,73 Glacier Hill Drive,2880.0,NSW,Australia,1.0,12.0,9.0,6036.19,12.0,High Potential
2458,Leilah,Liddel,Female,73.0,1964-04-20,Media Manager II,Manufacturing,High Net Worth,N,Yes,5.0,56.0,6 Ryan Drive,2165.0,NSW,Australia,10.0,4.0,7.0,7756.79,12.0,High Potential
2523,Lauree,Shewery,Female,28.0,1961-10-29,VP Marketing,Financial Services,Mass Customer,N,Yes,9.0,59.0,9 Oak Park,4205.0,QLD,Australia,4.0,14.0,9.0,4572.03,12.0,High Potential
1438,Winifred,MacRonald,Female,27.0,1975-01-11,Social Worker,Health,Mass Customer,N,Yes,14.0,45.0,53649 Mandrake Place,2749.0,NSW,Australia,8.0,6.0,10.0,5503.889999999999,12.0,High Potential
2464,Cleve,Jindrak,Male,78.0,1983-06-04,Speech Pathologist,Retail,Mass Customer,N,No,6.0,37.0,3126 Butterfield Pass,2573.0,NSW,Australia,8.0,2.0,13.0,7817.1,12.0,High Potential
1446,Gabriello,Nell,Male,51.0,1987-04-15,Engineer I,Manufacturing,Mass Customer,N,No,17.0,33.0,70262 Hermina Court,3690.0,VIC,Australia,2.0,10.0,7.0,4495.52,12.0,High Potential
3118,Cleveland,Coxon,Male,54.0,1993-01-22,Occupational Therapist,Health,High Net Worth,N,No,9.0,27.0,81183 Maple Wood Plaza,4152.0,QLD,Australia,8.0,12.0,9.0,6243.8200000000015,12.0,High Potential
2476,Hal,Braddon,Male,13.0,1956-09-25,Administrative Officer,Property,High Net Worth,N,No,17.0,64.0,567 Scott Park,4118.0,QLD,Australia,5.0,14.0,14.0,7493.2300000000005,12.0,High Potential
1460,Morley,Shutt,Male,92.0,1973-03-07,Information Systems Manager,Financial Services,High Net Worth,N,Yes,13.0,47.0,25 Darwin Terrace,2207.0,NSW,Australia,9.0,12.0,8.0,10787.599999999997,12.0,High Potential
3420,Norby,Elion,Male,96.0,1980-10-09,Financial Advisor,Financial Services,Mass Customer,N,Yes,19.0,40.0,00283 Loftsgordon Center,4118.0,QLD,Australia,5.0,5.0,11.0,6808.179999999999,12.0,High Potential
1802,Lizzie,Duke,Female,3.0,1973-11-04,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,7.0,47.0,66238 Old Gate Circle,4157.0,QLD,Australia,9.0,13.0,8.0,5035.800000000001,12.0,High Potential
2859,Brandais,Goodlad,Female,98.0,1994-04-02,Assistant Professor,Argiculture,High Net Worth,N,No,5.0,26.0,3519 Schurz Alley,4034.0,QLD,Australia,7.0,10.0,8.0,4153.82,12.0,High Potential
377,Levy,Bonavia,Male,65.0,1999-05-19,Staff Scientist,Argiculture,Mass Customer,N,No,1.0,21.0,259 Barnett Crossing,2265.0,NSW,Australia,5.0,6.0,11.0,4124.420000000001,12.0,High Potential
419,Chrissie,Bernardini,Female,34.0,1981-01-26,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0,39.0,7526 Artisan Parkway,4223.0,QLD,Australia,8.0,14.0,7.0,5027.369999999999,12.0,High Potential
2851,Ulberto,Haking,Male,36.0,1975-12-17,Programmer IV,Entertainment,Affluent Customer,N,Yes,16.0,45.0,11035 Toban Lane,2770.0,NSW,Australia,8.0,9.0,8.0,4113.780000000001,12.0,High Potential
2492,Gayelord,Lipman,Male,35.0,1974-01-02,Design Engineer,Manufacturing,High Net Worth,N,No,9.0,46.0,46 Victoria Center,2770.0,NSW,Australia,9.0,7.0,10.0,8437.43,12.0,High Potential
2856,Milissent,Deinert,Female,53.0,1976-09-25,Marketing Manager,Financial Services,Mass Customer,N,Yes,13.0,44.0,57 Village Green Center,2077.0,NSW,Australia,10.0,6.0,7.0,5583.330000000001,12.0,High Potential
1428,Morissa,Ozintsev,Female,93.0,1998-11-15,Sales Representative,Retail,High Net Worth,N,No,1.0,22.0,1231 Grim Road,2760.0,NSW,Australia,8.0,15.0,10.0,5508.8,12.0,High Potential
515,Winna,Verny,Female,55.0,1989-04-09,Help Desk Operator,IT,High Net Worth,N,No,8.0,31.0,12845 Paget Lane,2026.0,NSW,Australia,12.0,14.0,8.0,5916.69,12.0,High Potential
1830,Nathan,Antognazzi,Male,98.0,1985-04-30,Software Consultant,Manufacturing,High Net Worth,N,No,12.0,35.0,717 Oakridge Way,2117.0,NSW,Australia,8.0,13.0,7.0,4578.9,12.0,High Potential
1396,Sinclair,Melonby,Male,20.0,1987-07-10,Cost Accountant,Financial Services,Mass Customer,N,No,18.0,33.0,8108 Clyde Gallagher Crossing,3756.0,VIC,Australia,4.0,9.0,10.0,7075.58,12.0,High Potential
1748,Skell,Oxenden,Male,83.0,1956-07-06,Recruiter,Manufacturing,Mass Customer,N,Yes,10.0,64.0,09810 Dayton Hill,4035.0,QLD,Australia,8.0,2.0,10.0,4973.950000000001,12.0,High Potential
1885,Jerome,Sheavills,Male,18.0,1982-10-27,Software Consultant,Health,High Net Worth,N,Yes,11.0,38.0,83148 Rowland Alley,2530.0,NSW,Australia,8.0,4.0,9.0,6979.280000000001,12.0,High Potential
2369,Averyl,Gosz,Female,80.0,1996-10-28,Financial Analyst,Financial Services,Mass Customer,N,Yes,1.0,24.0,1 Bay Pass,3219.0,VIC,Australia,5.0,1.0,8.0,6854.59,12.0,High Potential
2374,Dolf,Baudichon,Male,6.0,1993-06-15,Design Engineer,Financial Services,Mass Customer,N,No,9.0,27.0,43898 Prentice Court,3025.0,VIC,Australia,9.0,14.0,7.0,5300.04,12.0,High Potential
3433,Karissa,Cabral,Female,10.0,1998-04-28,Computer Systems Analyst II,Property,Mass Customer,N,No,2.0,22.0,82 Warrior Hill,3174.0,VIC,Australia,8.0,0.0,10.0,5925.74,12.0,High Potential
605,Bart,Creenan,Male,13.0,1972-03-26,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,5.0,48.0,425 Thierer Junction,2761.0,NSW,Australia,8.0,2.0,8.0,5025.639999999999,12.0,High Potential
298,Maurise,Lenglet,Male,69.0,1956-08-15,Engineer I,Manufacturing,High Net Worth,N,No,9.0,64.0,83 Brickson Park Drive,3029.0,VIC,Australia,8.0,8.0,9.0,4382.4800000000005,12.0,High Potential
2379,Trixie,Piscopiello,Female,85.0,1981-05-05,Occupational Therapist,Health,Affluent Customer,N,Yes,15.0,39.0,5390 Park Meadow Park,2222.0,NSW,Australia,10.0,3.0,11.0,8252.73,12.0,High Potential
2386,Adrianne,Lowerson,Female,93.0,1997-06-07,Compensation Analyst,Financial Services,Mass Customer,N,No,2.0,23.0,1 Nova Avenue,2200.0,NSW,Australia,9.0,12.0,7.0,5453.86,12.0,High Potential
310,Myranda,Clowser,Female,0.0,1985-02-13,Account Coordinator,Financial Services,Mass Customer,N,Yes,18.0,35.0,06 Corry Pass,2450.0,NSW,Australia,9.0,8.0,7.0,4744.19,12.0,High Potential
3375,Thorsten,Gregon,Male,37.0,1993-03-21,Accounting Assistant I,Financial Services,High Net Worth,N,Yes,6.0,27.0,2782 Stephen Trail,2216.0,NSW,Australia,10.0,12.0,8.0,4285.94,12.0,High Potential
2391,Corny,Millott,Female,72.0,1961-04-22,Nurse Practicioner,Health,Mass Customer,N,No,14.0,59.0,9501 Melby Avenue,4178.0,QLD,Australia,7.0,12.0,10.0,5862.450000000001,12.0,High Potential
2879,Tatum,Askem,Female,62.0,1974-09-04,Executive Secretary,Argiculture,Mass Customer,N,Yes,5.0,46.0,77433 Sunfield Court,3179.0,VIC,Australia,9.0,14.0,8.0,5572.110000000001,12.0,High Potential
1404,Emmott,Mercik,Male,78.0,1957-07-30,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,14.0,63.0,88545 Milwaukee Center,3022.0,VIC,Australia,8.0,7.0,10.0,5426.7,12.0,High Potential
320,Aldous,Cubin,Male,19.0,1997-09-02,Registered Nurse,Health,Mass Customer,N,No,4.0,23.0,1108 Nevada Junction,4701.0,QLD,Australia,2.0,12.0,10.0,7204.660000000002,12.0,High Potential
322,De,Denington,Female,19.0,1977-10-03,Research Associate,Financial Services,Mass Customer,N,Yes,11.0,43.0,5 Schurz Place,4350.0,QLD,Australia,6.0,1.0,11.0,10336.769999999999,12.0,High Potential
1530,Alexandr,Maylard,Male,89.0,1976-12-01,Pharmacist,Health,Mass Customer,N,Yes,9.0,44.0,84749 Holy Cross Terrace,2767.0,NSW,Australia,8.0,1.0,10.0,7390.75,12.0,High Potential
2836,Matilda,Yellowley,Female,80.0,1963-11-14,Clinical Specialist,Health,Mass Customer,N,No,16.0,57.0,7827 Spohn Court,2093.0,NSW,Australia,9.0,13.0,9.0,4508.750000000001,12.0,High Potential
2418,Elspeth,Brazil,Female,82.0,1970-05-04,Software Engineer III,Property,Mass Customer,N,Yes,13.0,50.0,31168 Messerschmidt Street,3024.0,VIC,Australia,5.0,2.0,7.0,5457.09,12.0,High Potential
538,Millicent,Wiffler,Female,33.0,1956-10-21,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,5.0,64.0,311 Emmet Point,4211.0,QLD,Australia,7.0,4.0,7.0,6447.150000000001,12.0,High Potential
2794,Megen,Lorenc,Female,41.0,1975-06-11,Social Worker,Health,Mass Customer,N,Yes,18.0,45.0,01209 Southridge Hill,2216.0,NSW,Australia,8.0,5.0,7.0,6417.0599999999995,12.0,High Potential
3044,Russell,Brittoner,Male,59.0,1990-11-04,Occupational Therapist,Health,Affluent Customer,N,Yes,19.0,30.0,4 Jenifer Hill,3147.0,VIC,Australia,12.0,4.0,9.0,5793.33,12.0,High Potential
906,Cammy,Marcroft,Male,73.0,1998-12-30,Financial Analyst,Financial Services,High Net Worth,N,Yes,3.0,22.0,1 Cottonwood Street,3150.0,VIC,Australia,9.0,16.0,9.0,4473.870000000001,12.0,High Potential
2072,Margie,Tillyer,Female,30.0,1960-04-20,Environmental Specialist,Financial Services,Mass Customer,N,Yes,9.0,60.0,692 Leroy Parkway,3043.0,VIC,Australia,9.0,8.0,13.0,4136.84,12.0,High Potential
25,Geoff,Assaf,Male,72.0,1976-02-12,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,44.0,28 5th Center,4413.0,QLD,Australia,3.0,5.0,12.0,5333.660000000001,12.0,High Potential
3262,Maynord,L'Episcopi,Male,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,61.0,2558 Morningstar Center,4221.0,QLD,Australia,8.0,1.0,10.0,4290.81,12.0,High Potential
946,Bettina,Farrer,Female,16.0,1961-07-17,Research Associate,Manufacturing,High Net Worth,N,No,12.0,59.0,93446 Eagle Crest Plaza,2229.0,NSW,Australia,10.0,2.0,8.0,6305.6,12.0,High Potential
2152,Junina,Labone,Female,40.0,1968-05-11,Database Administrator III,Manufacturing,Mass Customer,N,Yes,19.0,52.0,2800 Dottie Trail,3071.0,VIC,Australia,10.0,1.0,9.0,4281.08,12.0,High Potential
2993,Blinnie,Hazelden,Female,85.0,1995-07-03,Graphic Designer,Financial Services,Affluent Customer,N,No,4.0,25.0,00 Cordelia Trail,2138.0,NSW,Australia,9.0,9.0,8.0,5400.879999999999,12.0,High Potential
3225,Durante,Reddan,Male,19.0,1980-06-19,Chief Design Engineer,Health,Mass Customer,N,Yes,4.0,40.0,5 Iowa Road,2154.0,NSW,Australia,11.0,8.0,7.0,4805.02,12.0,High Potential
99,Reggie,Mulliner,Male,97.0,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,22.0,079 Merry Park,2160.0,NSW,Australia,9.0,2.0,9.0,4557.65,12.0,High Potential
2103,Jayme,Hendin,Male,94.0,1975-09-22,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,18.0,45.0,0 Waubesa Alley,2265.0,NSW,Australia,6.0,14.0,10.0,6752.629999999999,12.0,High Potential
2761,Agathe,Weafer,Female,78.0,1961-11-11,Information Systems Manager,Financial Services,Mass Customer,N,No,19.0,59.0,8 Anderson Lane,2214.0,NSW,Australia,9.0,7.0,9.0,5082.02,12.0,High Potential
3258,Hettie,Godden,Female,77.0,1978-10-12,Sales Representative,Retail,Mass Customer,N,Yes,18.0,42.0,5 Stone Corner Parkway,2093.0,NSW,Australia,9.0,17.0,8.0,4821.9,12.0,High Potential
2705,Madalena,MacCaughey,Female,11.0,1996-10-20,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,3.0,24.0,7107 Manitowish Road,4815.0,QLD,Australia,2.0,2.0,8.0,5470.700000000001,12.0,High Potential
2111,Ellis,Vokes,Male,98.0,1973-12-28,Speech Pathologist,Property,Affluent Customer,N,Yes,12.0,47.0,91933 Artisan Avenue,2753.0,NSW,Australia,9.0,6.0,9.0,4790.820000000001,12.0,High Potential
1076,Siegfried,Trattles,Male,33.0,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0,20.0,44 Ramsey Road,2515.0,NSW,Australia,9.0,9.0,12.0,8104.540000000001,12.0,High Potential
2992,Crystal,Assur,Female,26.0,1974-05-31,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,46.0,9610 Gateway Trail,3429.0,VIC,Australia,5.0,9.0,8.0,6871.54,12.0,High Potential
3217,Lorena,Titterrell,Female,95.0,1968-12-03,Physical Therapy Assistant,Manufacturing,Mass Customer,N,No,8.0,52.0,17 Nevada Drive,2122.0,NSW,Australia,11.0,8.0,11.0,5564.080000000001,12.0,High Potential
89,Benedicto,Hoxey,Male,74.0,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,53.0,73042 Roth Crossing,2100.0,NSW,Australia,11.0,4.0,9.0,5779.65,12.0,High Potential
117,Nance,Suttling,Female,75.0,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,38.0,185 Pennsylvania Way,4226.0,QLD,Australia,6.0,5.0,10.0,6917.34,12.0,High Potential
3256,Collen,Kew,Female,76.0,1986-06-02,Professor,Financial Services,Affluent Customer,N,No,6.0,34.0,7798 Westport Trail,4031.0,QLD,Australia,9.0,12.0,10.0,7287.869999999999,12.0,High Potential
2109,Grazia,Vinson,Female,14.0,1965-04-13,Account Representative II,Health,High Net Worth,N,Yes,18.0,55.0,7 Porter Parkway,2261.0,NSW,Australia,8.0,2.0,8.0,5263.130000000001,12.0,High Potential
1629,Edsel,Lester,Male,46.0,1974-08-21,VP Accounting,Financial Services,Mass Customer,N,No,14.0,46.0,10 Hazelcrest Street,4413.0,QLD,Australia,5.0,1.0,7.0,6051.870000000001,12.0,High Potential
37,Laurie,Dwerryhouse,Female,46.0,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,35.0,54 Sage Plaza,4726.0,QLD,Australia,1.0,7.0,9.0,6338.490000000001,12.0,High Potential
3191,Bobbette,Amps,Female,29.0,1959-08-07,Director of Sales,Financial Services,Affluent Customer,N,Yes,12.0,61.0,1 Jenifer Court,4280.0,QLD,Australia,4.0,7.0,8.0,5673.639999999999,12.0,High Potential
2055,Harmon,Bakster,Male,46.0,1980-09-14,Administrative Assistant III,Retail,High Net Worth,N,No,7.0,40.0,1786 Orin Street,2327.0,NSW,Australia,3.0,0.0,9.0,5563.629999999999,12.0,High Potential
